year,month,MEI_v2,MEI_3m_rolling
2000,1,-1.25,
2000,2,-1.26,-1.255
2000,3,-1.37,-1.2933333333333332
2000,4,-0.9,-1.1766666666666667
2000,5,-0.94,-1.07
2000,6,-1.18,-1.0066666666666666
2000,7,-0.61,-0.91
2000,8,-0.08,-0.6233333333333333
2000,9,-0.36,-0.3499999999999999
2000,10,-0.52,-0.31999999999999995
2000,11,-0.86,-0.58
2000,12,-0.79,-0.7233333333333333
2001,1,-0.84,-0.83
2001,2,-0.86,-0.83
2001,3,-0.78,-0.8266666666666667
2001,4,-0.55,-0.73
2001,5,-0.52,-0.6166666666666667
2001,6,-0.73,-0.6
2001,7,0.03,-0.4066666666666667
2001,8,0.38,-0.10666666666666658
2001,9,-0.06,0.11666666666666675
2001,10,-0.23,0.030000000000000093
2001,11,-0.28,-0.18999999999999992
2001,12,0.06,-0.14999999999999994
2002,1,0.09,-0.043333333333333245
2002,2,-0.26,-0.03666666666666657
2002,3,-0.2,-0.12333333333333324
2002,4,-0.36,-0.27333333333333326
2002,5,-0.14,-0.23333333333333325
2002,6,0.34,-0.05333333333333323
2002,7,0.43,0.2100000000000001
2002,8,1.01,0.5933333333333334
2002,9,0.88,0.7733333333333334
2002,10,0.84,0.9100000000000001
2002,11,0.84,0.8533333333333335
2002,12,0.91,0.8633333333333336
2003,1,0.82,0.8566666666666668
2003,2,0.63,0.7866666666666667
2003,3,0.53,0.6600000000000001
2003,4,-0.11,0.35000000000000014
2003,5,-0.61,-0.06333333333333317
2003,6,-0.1,-0.27333333333333315
2003,7,0.01,-0.23333333333333317
2003,8,0.05,-0.013333333333333185
2003,9,0.18,0.08000000000000014
2003,10,0.28,0.17000000000000015
2003,11,0.3,0.25333333333333347
2003,12,0.14,0.24000000000000019
2004,1,0.19,0.21000000000000016
2004,2,-0.04,0.09666666666666683
2004,3,-0.43,-0.09333333333333317
2004,4,-0.23,-0.23333333333333317
2004,5,-0.46,-0.37333333333333324
2004,6,-0.38,-0.3566666666666665
2004,7,0.46,-0.12666666666666654
2004,8,0.76,0.2800000000000002
2004,9,0.58,0.6000000000000002
2004,10,0.4,0.5800000000000002
2004,11,0.56,0.5133333333333335
2004,12,0.48,0.48000000000000015
2005,1,0.09,0.37666666666666687
2005,2,0.61,0.3933333333333335
2005,3,0.83,0.5100000000000001
2005,4,0.14,0.5266666666666667
2005,5,0.19,0.38666666666666677
2005,6,0.21,0.18000000000000016
2005,7,-0.0,0.1333333333333335
2005,8,0.02,0.07666666666666681
2005,9,-0.02,1.4802973661668753e-16
2005,10,-0.66,-0.21999999999999986
2005,11,-0.7,-0.4599999999999998
2005,12,-0.7,-0.6866666666666665
2006,1,-0.64,-0.6799999999999997
2006,2,-0.49,-0.6099999999999999
2006,3,-0.62,-0.5833333333333331
2006,4,-0.84,-0.6499999999999998
2006,5,-0.42,-0.6266666666666665
2006,6,-0.17,-0.4766666666666665
2006,7,0.22,-0.12333333333333318
2006,8,0.59,0.21333333333333346
2006,9,0.65,0.4866666666666668
2006,10,0.77,0.6700000000000003
2006,11,1.0,0.8066666666666668
2006,12,0.64,0.8033333333333336
2007,1,0.64,0.7600000000000002
2007,2,0.4,0.5600000000000002
2007,3,-0.19,0.2833333333333335
2007,4,-0.32,-0.03666666666666648
2007,5,-0.41,-0.3066666666666665
2007,6,-0.83,-0.5199999999999998
2007,7,-0.76,-0.6666666666666664
2007,8,-0.91,-0.8333333333333331
2007,9,-1.06,-0.9099999999999998
2007,10,-1.13,-1.0333333333333332
2007,11,-1.12,-1.1033333333333333
2007,12,-1.19,-1.1466666666666665
2008,1,-1.07,-1.1266666666666665
2008,2,-1.27,-1.1766666666666665
2008,3,-1.52,-1.2866666666666664
2008,4,-1.1,-1.2966666666666664
2008,5,-0.99,-1.2033333333333331
2008,6,-0.79,-0.96
2008,7,-0.78,-0.8533333333333332
2008,8,-1.01,-0.8599999999999998
2008,9,-1.02,-0.9366666666666665
2008,10,-1.09,-1.0399999999999998
2008,11,-0.98,-1.0299999999999998
2008,12,-1.01,-1.0266666666666664
2009,1,-1.01,-0.9999999999999997
2009,2,-0.85,-0.9566666666666664
2009,3,-0.95,-0.9366666666666664
2009,4,-0.81,-0.8699999999999998
2009,5,-0.72,-0.8266666666666663
2009,6,-0.05,-0.5266666666666665
2009,7,0.56,-0.06999999999999977
2009,8,0.56,0.3566666666666669
2009,9,0.42,0.5133333333333335
2009,10,0.56,0.5133333333333335
2009,11,1.04,0.6733333333333335
2009,12,0.95,0.8500000000000002
