Year, Month, Day,     Extent,    Missing, Source Data
YYYY,    MM,  DD, 10^6 sq km, 10^6 sq km, Source data product web sites: http://nsidc.org/data/nsidc-0081.html and http://nsidc.org/data/nsidc-0051.html
1978,    10,  26,     17.624,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.10.26/nt_19781026_n07_v1.1_s.bin']
1978,    10,  28,     17.803,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.10.28/nt_19781028_n07_v1.1_s.bin']
1978,    10,  30,     17.670,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.10.30/nt_19781030_n07_v1.1_s.bin']
1978,    11,  01,     17.527,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.01/nt_19781101_n07_v1.1_s.bin']
1978,    11,  03,     17.486,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.03/nt_19781103_n07_v1.1_s.bin']
1978,    11,  05,     17.343,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.05/nt_19781105_n07_v1.1_s.bin']
1978,    11,  07,     17.157,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.07/nt_19781107_n07_v1.1_s.bin']
1978,    11,  09,     17.028,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.09/nt_19781109_n07_v1.1_s.bin']
1978,    11,  11,     16.815,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.11/nt_19781111_n07_v1.1_s.bin']
1978,    11,  13,     16.371,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.13/nt_19781113_n07_v1.1_s.bin']
1978,    11,  15,     16.176,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.15/nt_19781115_n07_v1.1_s.bin']
1978,    11,  17,     15.520,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.17/nt_19781117_n07_v1.1_s.bin']
1978,    11,  19,     15.267,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.19/nt_19781119_n07_v1.1_s.bin']
1978,    11,  21,     15.027,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.21/nt_19781121_n07_v1.1_s.bin']
1978,    11,  23,     14.681,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.23/nt_19781123_n07_v1.1_s.bin']
1978,    11,  25,     14.449,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.25/nt_19781125_n07_v1.1_s.bin']
1978,    11,  27,     13.980,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.27/nt_19781127_n07_v1.1_s.bin']
1978,    11,  29,     13.619,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.11.29/nt_19781129_n07_v1.1_s.bin']
1978,    12,  01,     13.330,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.01/nt_19781201_n07_v1.1_s.bin']
1978,    12,  03,     13.097,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.03/nt_19781203_n07_v1.1_s.bin']
1978,    12,  05,     12.829,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.05/nt_19781205_n07_v1.1_s.bin']
1978,    12,  07,     12.436,      0.000, ['/ecs/DP1/PM/NSIDC-0051.001/1978.12.07/nt_19781207_n07_v1.1_s.bin']
